"source_row_id","state_abbr","county_name","zip"
"1408","NE","Dakota","68743"
"1409","NE","Howard","68835"
"1410","NE","Buffalo","68845"
"1411","NE","Buffalo","68847"
"1412","NE","Dawson","68850"
"1413","NE","Hall","68876"
"1414","NE","Adams","68901"
"1415","NE","Phelps","68949"
"1416","NE","Lincoln","69101"
"1417","NE","Kimball","69145"
"1418","NE","Perkins","69153"
"1419","NE","Cheyenne","69162"
"1420","NE","Cherry","69201"
"1421","NE","Box Butte","69301"
"1422","NE","Dawes","69337"
"1423","NE","Scotts Bluff","69341"
"1424","NE","Scotts Bluff","69361"
"1425","LA","Plaquemines","70091"
"1426","LA","Jefferson","70094"
"1427","LA","Orleans","70126"
"1428","LA","Orleans","70129"
"1429","LA","St. Mary","70342"
"1430","LA","Terrebonne","70363"
"1431","LA","Washington","70438"
"1432","LA","Tangipahoa","70443"
"1433","LA","Lafayette","70507"
"1434","LA","Vermilion","70510"
"1435","LA","Acadia","70531"
"1436","LA","St. Landry","70589"
"1437","LA","Jefferson Davis","70591"
"1438","LA","Calcasieu","70663"
"1439","LA","Livingston","70754"
"1440","LA","Pointe Coupee","70762"
"1441","LA","Ascension","70778"
"1442","LA","Livingston","70785"
"1443","LA","East Baton Rouge","70791"
"1444","LA","East Baton Rouge","70807"
"1445","LA","Caddo","71047"
"1446","LA","De Soto","71052"
"1447","LA","Webster","71055"
"1448","LA","Ouachita","71202"
"1449","LA","Ouachita","71203"
"1450","LA","Union","71241"
"1451","LA","West Carroll","71263"
"1452","LA","La Salle","71342"
"1453","LA","Tensas","71366"
"1454","LA","Sabine","71443"
"1455","LA","Allen","71463"
"1456","AR","Jefferson","71602"
"1457","AR","Jefferson","71603"
"1458","AR","Ashley","71646"
"1459","AR","Union","71730"
"1460","AR","Hempstead","71801"
"1461","AR","Howard","71852"
"1462","AR","Jackson","72005"
"1463","AR","Saline","72011"
"1464","AR","Faulkner","72032"
"1465","AR","Arkansas","72042"
"1466","AR","Prairie","72064"
"1467","AR","Conway","72110"
"1468","AR","Pulaski","72117"
"1469","AR","Pulaski","72204"
"1470","AR","Pulaski","72206"
"1471","AR","Crittenden","72301"
"1472","AR","Mississippi","72358"
"1473","AR","Phillips","72390"
"1474","AR","Craighead","72404"
"1475","AR","Greene","72450"
"1476","AR","Fulton","72529"
"1477","AR","Baxter","72653"
"1478","AR","Washington","72762"
"1479","AR","Yell","72833"
"1480","AR","Sebastian","72916"
"1481","OK","McClain","73065"
"1482","OK","Grady","73067"
"1483","OK","Garvin","73075"
"1484","OK","Grady","73079"
"1485","OK","Canadian","73090"
"1486","OK","Oklahoma","73127"
"1487","OK","Oklahoma","73128"
"1488","OK","Oklahoma","73141"
"1489","OK","Oklahoma","73149"
"1490","OK","Carter","73402"
"1491","OK","Comanche","73501"
"1492","OK","Beckham","73644"
"1493","OK","Beckham","73662"
"1494","OK","Garfield","73701"
"1495","OK","Major","73760"
"1496","OK","Woodward","73801"
"1497","OK","Osage","74003"
"1498","OK","Wagoner","74014"
"1499","OK","Osage","74063"
"1500","OK","Payne","74075"
"1501","OK","Tulsa","74116"
"1502","OK","Tulsa","74117"
"1503","OK","Muskogee","74401"
"1504","OK","Okmulgee","74447"
"1505","OK","Wagoner","74454"
"1506","OK","Pittsburg","74501"
"1507","OK","Pittsburg","74522"
"1508","OK","Kay","74601"
"1509","OK","McCurtain","74728"
"1510","OK","McCurtain","74745"
"1511","OK","Pottawatomie","74801"
"1512","OK","Lincoln","74864"
"1513","OK","Pottawatomie","74873"
"1514","OK","Seminole","74884"
"1515","OK","Sequoyah","74955"
"1516","OK","Adair","74960"
"1517","TX","Dallas","75040"
"1518","TX","Dallas","75050"
"1519","TX","Denton","75056"
"1520","TX","Denton","75057"
"1521","TX","Dallas","75060"
"1522","TX","Collin","75069"
"1523","TX","Dallas","75089"
"1524","TX","Grayson","75090"
"1525","TX","Collin","75098"
"1526","TX","Navarro","75110"
"1527","TX","Ellis","75119"
"1528","TX","Dallas","75125"
"1529","TX","Dallas","75141"
"1530","TX","Dallas","75241"
"1531","TX","Dallas","75253"
"1532","TX","Lamar","75416"
"1533","TX","Hunt","75422"
"1534","TX","Hunt","75423"
"1535","TX","Collin","75454"
"1536","TX","Titus","75455"
"1537","TX","Lamar","75473"
"1538","TX","Bowie","75570"
"1539","TX","Rusk","75653"
"1540","TX","Gregg","75662"
