"source_row_id","fips_county","o3_max_pred_2016","o3_mean_pred_2016","o3_med_pred_2016","o3_pop_pred_2016","o3_max_pred_2017","o3_mean_pred_2017","o3_med_pred_2017","o3_pop_pred_2017","o3_max_pred_2018","o3_mean_pred_2018","o3_med_pred_2018","o3_pop_pred_2018","o3_max_pred_2019","o3_mean_pred_2019","o3_med_pred_2019","o3_pop_pred_2019"
"6529","31025",36.858001708984375,35.938804626464844,35.899471282958984,35.93355941772461,36.82646179199219,35.9149055480957,35.88593673706055,35.915279388427734,36.36534118652344,35.47763442993164,35.446990966796875,35.480018615722656,35.913333892822266,35.085697174072266,35.03712844848633,35.07445526123047
"6533","31027",37.05072784423828,36.74843978881836,36.74843978881836,36.74836349487305,38.42582321166992,38.11941909790039,38.11941909790039,38.11966323852539,38.233036041259766,37.923309326171875,37.923309326171875,37.92351531982422,38.139678955078125,37.851505279541016,37.851505279541016,37.85110855102539
"6537","31029",40.28205108642578,40.28205108642578,40.28205108642578,40.28205108642578,39.98719024658203,39.98719024658203,39.98719024658203,39.98719024658203,40.6369743347168,40.6369743347168,40.6369743347168,40.6369743347168,40.078163146972656,40.078163146972656,40.078163146972656,40.078163146972656
"6541","31031",39.11312484741211,38.68034744262695,38.68034744262695,38.62211227416992,41.06205749511719,40.60886001586914,40.60886001586914,40.669281005859375,41.2056999206543,40.77434539794922,40.77434539794922,40.770103454589844,41.35027313232422,40.89386749267578,40.89386749267578,40.88330841064453
"6545","31033",41.333351135253906,41.1688346862793,41.16804504394531,41.17421340942383,41.86506271362305,41.68898391723633,41.68449783325195,41.69327926635742,42.58766555786133,42.40068817138672,42.40323257446289,42.40841293334961,41.11668395996094,40.941890716552734,40.941261291503906,40.94513702392578
"6549","31035",37.54079818725586,37.321617126464844,37.321617126464844,37.31364440917969,37.531394958496094,37.30324935913086,37.30324935913086,37.302757263183594,37.4774284362793,37.27386474609375,37.27386474609375,37.26874542236328,37.27015686035156,37.04959487915039,37.04959487915039,37.03794860839844
"6553","31037",36.85310745239258,36.48421859741211,36.47560501098633,36.485008239746094,37.43973922729492,37.061920166015625,37.03586196899414,36.96534729003906,37.13639450073242,36.7209358215332,36.688880920410156,36.617469787597656,37.14508819580078,36.74394226074219,36.70036315917969,36.61921691894531
"6557","31039",36.846519470214844,36.40412139892578,36.39429473876953,36.40061569213867,37.793426513671875,37.353416442871094,37.36478042602539,37.309017181396484,37.584346771240234,37.149234771728516,37.196533203125,37.10218048095703,37.59098815917969,37.15973663330078,37.18046569824219,37.13174057006836
"6561","31041",38.474281311035156,37.825050354003906,37.794036865234375,37.83424758911133,39.29969024658203,38.573448181152344,38.54807662963867,38.60211181640625,39.565895080566406,38.82759475708008,38.80916976928711,38.86469650268555,39.60976028442383,39.01007843017578,39.016517639160156,39.0421028137207
"6565","31043",36.58213424682617,36.22716522216797,36.20329666137695,36.20664978027344,37.8324089050293,37.470088958740234,37.43780517578125,37.44137954711914,38.038856506347656,37.688941955566406,37.672794342041016,37.679603576660156,37.6775016784668,37.320396423339844,37.299659729003906,37.30882263183594
"6569","31045",40.80205154418945,40.59293746948242,40.59293746948242,40.53612518310547,42.330562591552734,42.10547637939453,42.10547637939453,42.053871154785156,41.96220779418945,41.734092712402344,41.734092712402344,41.6824951171875,41.7938117980957,41.609371185302734,41.609371185302734,41.5799674987793
"6573","31047",38.739479064941406,38.142433166503906,38.15854263305664,38.104366302490234,39.19280242919922,38.50346755981445,38.51164627075195,38.43580627441406,39.66587829589844,38.94882583618164,38.99073028564453,38.86172103881836,39.14847183227539,38.48898696899414,38.517574310302734,38.393455505371094
"6577","31049",40.34259796142578,40.34259796142578,40.34259796142578,40.34259796142578,40.57311248779297,40.57311248779297,40.57311248779297,40.57311248779297,41.151615142822266,41.151615142822266,41.151615142822266,41.151615142822266,40.438575744628906,40.438575744628906,40.438575744628906,40.438575744628906
"6581","31051",36.80078887939453,36.451515197753906,36.451515197753906,36.45368576049805,38.247013092041016,37.94078063964844,37.94078063964844,37.929039001464844,38.338748931884766,38.00784683227539,38.00784683227539,37.977054595947266,38.00209045410156,37.679080963134766,37.679080963134766,37.64836883544922
"6585","31053",36.943809509277344,36.22611999511719,36.189170837402344,36.213584899902344,37.23436737060547,36.48042678833008,36.40195846557617,36.45988082885742,37.005428314208984,36.20281982421875,36.116546630859375,36.1840934753418,37.02564239501953,36.18689727783203,36.081634521484375,36.1620979309082
"6589","31055",36.774208068847656,35.40719985961914,35.371490478515625,35.4117317199707,36.85784912109375,35.46056365966797,35.424991607666016,35.46394729614258,36.559608459472656,35.187198638916016,35.170440673828125,35.18745040893555,36.29917907714844,34.848690032958984,34.826812744140625,34.84918975830078
"6593","31057",40.599884033203125,40.599884033203125,40.599884033203125,40.599884033203125,39.77613830566406,39.77613830566406,39.77613830566406,39.77613830566406,40.632774353027344,40.632774353027344,40.632774353027344,40.632774353027344,40.09642028808594,40.09642028808594,40.09642028808594,40.09642028808594
"6597","31059",37.48183822631836,37.25505447387695,37.25505447387695,37.26236343383789,37.34949493408203,37.109588623046875,37.109588623046875,37.122535705566406,37.20456314086914,36.97367477416992,36.97367477416992,36.99013137817383,37.018104553222656,36.76837158203125,36.76837158203125,36.78019332885742
"6601","31061",38.25458526611328,38.04331970214844,38.04331970214844,38.04439926147461,37.94655227661133,37.70611572265625,37.70611572265625,37.704193115234375,38.3092041015625,38.07859802246094,38.07859802246094,38.078426361083984,38.040809631347656,37.790550231933594,37.790550231933594,37.793331146240234
"6605","31063",38.856082916259766,38.856082916259766,38.856082916259766,38.856082916259766,38.73994064331055,38.73994064331055,38.73994064331055,38.73994064331055,39.36708068847656,39.36708068847656,39.36708068847656,39.36708068847656,38.79660415649414,38.79660415649414,38.79660415649414,38.79660415649414
"6609","31065",38.59381866455078,38.59381866455078,38.59381866455078,38.59381866455078,38.06425094604492,38.06425094604492,38.06425094604492,38.06425094604492,38.685096740722656,38.685096740722656,38.685096740722656,38.685096740722656,38.21912384033203,38.21912384033203,38.21912384033203,38.21912384033203
"6613","31067",37.90180206298828,37.34016036987305,37.325199127197266,37.336341857910156,37.55363464355469,36.95584487915039,36.926483154296875,36.949302673339844,37.17491912841797,36.59280014038086,36.56671905517578,36.58665466308594,37.129737854003906,36.58872604370117,36.565223693847656,36.58381271362305
